"run","seed_percent","number_visits_sum"
1,1e-05,8937.54738632409
2,1e-05,9165.83666505216
3,1e-05,9516.7241101368
4,1e-05,8641.41063315988
5,1e-05,8806.98589358758
6,5e-05,9721.89770388717
7,5e-05,8107.63883390321
8,5e-05,8082.66939432535
9,5e-05,8126.15403600692
10,5e-05,8736.32496662582
11,1e-04,9566.9506969774
12,1e-04,6790.80769427913
13,1e-04,9726.05089604165
14,1e-04,9721.92677304347
15,1e-04,10193.4379638837
16,5e-04,9236.41520694247
17,5e-04,9883.16450876324
18,5e-04,8990.92693716351
19,5e-04,10125.3980520853
20,5e-04,9223.35755498321
21,0.001,9197.43399157694
22,0.001,10139.6226500861
23,0.001,10300.1838878593
24,0.001,9932.91973942845
25,0.001,10711.1229288255
26,0.005,8367.24210799396
27,0.005,9847.05222838927
28,0.005,11654.3441178428
29,0.005,10826.959723897
30,0.005,9970.00504454147
31,0.01,9816.04527489561
32,0.01,10842.9315975096
33,0.01,10698.5849858647
34,0.01,9782.82874428052
35,0.01,12019.6408649303
36,0.05,11092.9913919995
37,0.05,10195.517199549
38,0.05,10244.3358524749
39,0.05,12048.4506387369
40,0.05,11303.2643036929
41,0.1,11198.4769508931
42,0.1,10675.5069580841
43,0.1,11636.7452139699
44,0.1,9725.22149225153
45,0.1,9911.98559396679
46,0.5,10794.1626144607
47,0.5,11291.3521911016
48,0.5,9225.80281269676
49,0.5,11875.3230758304
50,0.5,11538.1766942458
51,1,10040.8618777083
52,1,10403.1591460901
53,1,10111.463675105
54,1,9637.36564037983
55,1,12189.5287738962
